!SIL 1.0	sil
<UNK> 1.0	spn
bì 1.0	b i f
bìa 1.0	b i f a
bình 1.0	b i f n h
bìu 1.0	b i f u
bí 1.0	b i s
bích 1.0	b i s c h
bính 1.0	b i s n h
bíu 1.0	b i s u
bò 1.0	b o f
bó 1.0	b o s
bóc 1.0	b o s c
bói 1.0	b o s i
bón 1.0	b o s n
bóng 1.0	b o s n g
bóp 1.0	b o s p
bót 1.0	b o s t
bôi 1.0	b o o i
bông 1.0	b o o n g
bõm 1.0	b o x m
bõng 1.0	b o x n g
bù 1.0	b u f
bùa 1.0	b u f a
bùi 1.0	b u f i
bùn 1.0	b u f n
bùng 1.0	b u f n g
bú 1.0	b u s
búa 1.0	b u s a
bún 1.0	b u s n
búng 1.0	b u s n g
búp 1.0	b u s p
bút 1.0	b u s t
băn 1.0	b a w n
băng 1.0	b a w n g
bĩnh 1.0	b i x n h
bĩu 1.0	b i x u
bũm 1.0	b u x m
bơ 1.0	b o w
bơi 1.0	b o w i
bơm 1.0	b o w m
bưng 1.0	b u w n g
bưu 1.0	b u w u
bươi 1.0	b u w o w i
bươm 1.0	b u w o w m
bươu 1.0	b u w o w u
bước 1.0	b u w o w s c
bướng 1.0	b u w o w s n g
bưởi 1.0	b u w o w r i
bạ 1.0	b a j
bạc 1.0	b a j c
bạch 1.0	b a j c h
bại 1.0	b a j i
bạn 1.0	b a j n
bạo 1.0	b a j o
bạt 1.0	b a j t
bả 1.0	b a r
bản 1.0	b a r n
bảng 1.0	b a r n g
bảnh 1.0	b a r n h
bảo 1.0	b a r o
bảy 1.0	b a r y
bấc 1.0	b a a s c
bấm 1.0	b a a s m
bấp 1.0	b a a s p
bất 1.0	b a a s t
bấu 1.0	b a a s u
bấy 1.0	b a a s y
bầm 1.0	b a a f m
bần 1.0	b a a f n
bầu 1.0	b a a f u
bầy 1.0	b a a f y
bẩm 1.0	b a a r m
bẩn 1.0	b a a r n
bẫy 1.0	b a a x y
bậc 1.0	b a a j c
bận 1.0	b a a j n
bập 1.0	b a a j p
bật 1.0	b a a j t
bậy 1.0	b a a j y
bắc 1.0	b a w s c
bắn 1.0	b a w s n
bắng 1.0	b a w s n g
bắp 1.0	b a w s p
bắt 1.0	b a w s t
bằm 1.0	b a w f m
bằng 1.0	b a w f n g
bẵng 1.0	b a w x n g
bặm 1.0	b a w j m
bặt 1.0	b a w j t
bẹ 1.0	b e j
bẹo 1.0	b e j o
bẹp 1.0	b e j p
bẹt 1.0	b e j t
bẽn 1.0	b e x n
bế 1.0	b e e s
bến 1.0	b e e s n
bếp 1.0	b e e s p
bết 1.0	b e e s t
bề 1.0	b e e f
bền 1.0	b e e f n
bềnh 1.0	b e e f n h
bều 1.0	b e e f u
bể 1.0	b e e r
bệ 1.0	b e e j
bệch 1.0	b e e j c h
bện 1.0	b e e j n
bệnh 1.0	b e e j n h
bệt 1.0	b e e j t
bệu 1.0	b e e j u
bỉ 1.0	b i r
bỉnh 1.0	b i r n h
bỉu 1.0	b i r u
bị 1.0	b i j
bịa 1.0	b i j a
bịch 1.0	b i j c h
bịn 1.0	b i j n
bịt 1.0	b i j t
bịu 1.0	b i j u
bọ 1.0	b o j
bọc 1.0	b o j c
bọn 1.0	b o j n
bọng 1.0	b o j n g
bọp 1.0	b o j p
bọt 1.0	b o j t
bỏ 1.0	b o r
bố 1.0	b o o s
bốc 1.0	b o o s c
bối 1.0	b o o s i
bốn 1.0	b o o s n
bống 1.0	b o o s n g
bồ 1.0	b o o f
bồi 1.0	b o o f i
bồn 1.0	b o o f n
bồng 1.0	b o o f n g
bổ 1.0	b o o r
bổn 1.0	b o o r n
bổng 1.0	b o o r n g
bỗ 1.0	b o o x
bỗng 1.0	b o o x n g
bộ 1.0	b o o j
bộc 1.0	b o o j c
bội 1.0	b o o j i
bộng 1.0	b o o j n g
bột 1.0	b o o j t
bới 1.0	b o w s i
bớt 1.0	b o w s t
bờ 1.0	b o w f
bời 1.0	b o w f i
bờm 1.0	b o w f m
bở 1.0	b o w r
bởi 1.0	b o w r i
bỡ 1.0	b o w x
bợ 1.0	b o w j
bợm 1.0	b o w j m
bợn 1.0	b o w j n
bụa 1.0	b u j a
bục 1.0	b u j c
bụi 1.0	b u j i
bụng 1.0	b u j n g
bụt 1.0	b u j t
bủa 1.0	b u r a
bủm 1.0	b u r m
bức 1.0	b u w s c
bứt 1.0	b u w s t
bừa 1.0	b u w f a
bừng 1.0	b u w f n g
bửu 1.0	b u w r u
bữa 1.0	b u w x a
bự 1.0	b u w j
bực 1.0	b u w j c
c 1.0	c
ca 1.0	c a
cai 1.0	c a i
cam 1.0	c a m
can 1.0	c a n
canh 1.0	c a n h
cao 1.0	c a o
cay 1.0	c a y
cha 1.0	c h a
chai 1.0	c h a i
chan 1.0	c h a n
chang 1.0	c h a n g
chanh 1.0	c h a n h
chao 1.0	c h a o
chay 1.0	c h a y
che 1.0	c h e
chem 1.0	c h e m
chen 1.0	c h e n
cheng 1.0	c h e n g
cheo 1.0	c h e o
chi 1.0	c h i
chia 1.0	c h i a
chim 1.0	c h i m
chinh 1.0	c h i n h
chiu 1.0	c h i u
chiêm 1.0	c h i e e m
chiên 1.0	c h i e e n
chiêng 1.0	c h i e e n g
chiêu 1.0	c h i e e u
chiếc 1.0	c h i e e s c
chiếm 1.0	c h i e e s m
chiến 1.0	c h i e e s n
chiếng 1.0	c h i e e s n g
chiết 1.0	c h i e e s t
chiếu 1.0	c h i e e s u
chiền 1.0	c h i e e f n
chiều 1.0	c h i e e f u
chiểu 1.0	c h i e e r u
cho 1.0	c h o
choang 1.0	c h o a n g
chong 1.0	c h o n g
choàng 1.0	c h o a f n g
choáng 1.0	c h o a s n g
choèn 1.0	c h o e f n
choạc 1.0	c h o a j c
choạng 1.0	c h o a j n g
choảng 1.0	c h o a r n g
choắt 1.0	c h o a w s t
chu 1.0	c h u
chua 1.0	c h u a
chui 1.0	c h u i
chum 1.0	c h u m
chung 1.0	c h u n g
chuyên 1.0	c h u y e e n
chuyến 1.0	c h u y e e s n
chuyền 1.0	c h u y e e f n
chuyển 1.0	c h u y e e r n
chuyện 1.0	c h u y e e j n
chuôi 1.0	c h u o o i
chuông 1.0	c h u o o n g
chuẩn 1.0	c h u a a r n
chuốc 1.0	c h u o o s c
chuối 1.0	c h u o o s i
chuốt 1.0	c h u o o s t
chuồi 1.0	c h u o o f i
chuồn 1.0	c h u o o f n
chuồng 1.0	c h u o o f n g
chuỗi 1.0	c h u o o x i
chuộc 1.0	c h u o o j c
chuộng 1.0	c h u o o j n g
chuột 1.0	c h u o o j t
chà 1.0	c h a f
chài 1.0	c h a f i
chàm 1.0	c h a f m
chàng 1.0	c h a f n g
chành 1.0	c h a f n h
chào 1.0	c h a f o
chày 1.0	c h a f y
chác 1.0	c h a s c
chái 1.0	c h a s i
chán 1.0	c h a s n
chánh 1.0	c h a s n h
cháo 1.0	c h a s o
chát 1.0	c h a s t
cháu 1.0	c h a s u
cháy 1.0	c h a s y
châm 1.0	c h a a m
chân 1.0	c h a a n
châu 1.0	c h a a u
chã 1.0	c h a x
chão 1.0	c h a x o
chè 1.0	c h e f
chèn 1.0	c h e f n
chèo 1.0	c h e f o
ché 1.0	c h e s
chém 1.0	c h e s m
chén 1.0	c h e s n
chéo 1.0	c h e s o
chép 1.0	c h e s p
chét 1.0	c h e s t
chê 1.0	c h e e
chêm 1.0	c h e e m
chênh 1.0	c h e e n h
chì 1.0	c h i f
chìm 1.0	c h i f m
chìu 1.0	c h i f u
chí 1.0	c h i s
chích 1.0	c h i s c h
chín 1.0	c h i s n
chính 1.0	c h i s n h
chít 1.0	c h i s t
chíu 1.0	c h i s u
chò 1.0	c h o f
chòm 1.0	c h o f m
chòng 1.0	c h o f n g
chó 1.0	c h o s
chóe 1.0	c h o s e
chói 1.0	c h o s i
chóng 1.0	c h o s n g
chót 1.0	c h o s t
chôn 1.0	c h o o n
chông 1.0	c h o o n g
chù 1.0	c h u f
chùa 1.0	c h u f a
chùi 1.0	c h u f i
chùm 1.0	c h u f m
chú 1.0	c h u s
chúa 1.0	c h u s a
chúc 1.0	c h u s c
chúi 1.0	c h u s i
chúng 1.0	c h u s n g
chút 1.0	c h u s t
chăm 1.0	c h a w m
chăn 1.0	c h a w n
chăng 1.0	c h a w n g
chĩn 1.0	c h i x n
chũi 1.0	c h u x i
chũn 1.0	c h u x n
chơ 1.0	c h o w
chơi 1.0	c h o w i
chư 1.0	c h u w
chưa 1.0	c h u w a
chưng 1.0	c h u w n g
chương 1.0	c h u w o w n g
chước 1.0	c h u w o w s c
chướng 1.0	c h u w o w s n g
chườm 1.0	c h u w o w f m
chược 1.0	c h u w o w j c
chạch 1.0	c h a j c h
chạm 1.0	c h a j m
chạn 1.0	c h a j n
chạnh 1.0	c h a j n h
chạp 1.0	c h a j p
chạy 1.0	c h a j y
chả 1.0	c h a r
chải 1.0	c h a r i
chảo 1.0	c h a r o
chảy 1.0	c h a r y
chấm 1.0	c h a a s m
chấn 1.0	c h a a s n
chấp 1.0	c h a a s p
chất 1.0	c h a a s t
chấu 1.0	c h a a s u
chầm 1.0	c h a a f m
chầu 1.0	c h a a f u
chẩm 1.0	c h a a r m
chẩn 1.0	c h a a r n
chậm 1.0	c h a a j m
chập 1.0	c h a a j p
chật 1.0	c h a a j t
chậu 1.0	c h a a j u
chắc 1.0	c h a w s c
chắm 1.0	c h a w s m
chắn 1.0	c h a w s n
chắp 1.0	c h a w s p
chắt 1.0	c h a w s t
chằm 1.0	c h a w f m
chằn 1.0	c h a w f n
chằng 1.0	c h a w f n g
chẳng 1.0	c h a w r n g
chẵn 1.0	c h a w x n
chặn 1.0	c h a w j n
chặng 1.0	c h a w j n g
chặt 1.0	c h a w j t
chẹn 1.0	c h e j n
chẹo 1.0	c h e j o
chẹp 1.0	c h e j p
chẻ 1.0	c h e r
chẽ 1.0	c h e x
chẽn 1.0	c h e x n
chế 1.0	c h e e s
chết 1.0	c h e e s t
chề 1.0	c h e e f
chềnh 1.0	c h e e f n h
chểnh 1.0	c h e e r n h
chệch 1.0	c h e e j c h
chỉ 1.0	c h i r
chỉnh 1.0	c h i r n h
chị 1.0	c h i j
chịt 1.0	c h i j t
chịu 1.0	c h i j u
chọc 1.0	c h o j c
chọi 1.0	c h o j i
chọn 1.0	c h o j n
chọt 1.0	c h o j t
chỏ 1.0	c h o r
chỏm 1.0	c h o r m
chỏn 1.0	c h o r n
chốc 1.0	c h o o s c
chối 1.0	c h o o s i
chốn 1.0	c h o o s n
chống 1.0	c h o o s n g
chốt 1.0	c h o o s t
chồi 1.0	c h o o f i
chồm 1.0	c h o o f m
chồn 1.0	c h o o f n
chồng 1.0	c h o o f n g
chổi 1.0	c h o o r i
chỗ 1.0	c h o o x
chộp 1.0	c h o o j p
chớ 1.0	c h o w s
chới 1.0	c h o w s i
chớp 1.0	c h o w s p
chờ 1.0	c h o w f
chờn 1.0	c h o w f n
chở 1.0	c h o w r
chợ 1.0	c h o w j
chợp 1.0	c h o w j p
chợt 1.0	c h o w j t
chục 1.0	c h u j c
chụm 1.0	c h u j m
chụp 1.0	c h u j p
chủ 1.0	c h u r
chủng 1.0	c h u r n g
chứ 1.0	c h u w s
chứa 1.0	c h u w s a
chức 1.0	c h u w s c
chứng 1.0	c h u w s n g
chừ 1.0	c h u w f
chừng 1.0	c h u w f n g
chửa 1.0	c h u w r a
chửi 1.0	c h u w r i
chửng 1.0	c h u w r n g
chữ 1.0	c h u w x
chữa 1.0	c h u w x a
chững 1.0	c h u w x n g
chực 1.0	c h u w j c
co 1.0	c o
coi 1.0	c o i
con 1.0	c o n
cong 1.0	c o n g
cu 1.0	c u
cua 1.0	c u a
cun 1.0	c u n
cung 1.0	c u n g
cuông 1.0	c u o o n g
cuốc 1.0	c u o o s c
cuối 1.0	c u o o s i
cuốn 1.0	c u o o s n
cuống 1.0	c u o o s n g
cuồn 1.0	c u o o f n
cuồng 1.0	c u o o f n g
cuỗm 1.0	c u o o x m
cuộc 1.0	c u o o j c
cuội 1.0	c u o o j i
cuộn 1.0	c u o o j n
cà 1.0	c a f
cài 1.0	c a f i
càng 1.0	c a f n g
cành 1.0	c a f n h
cào 1.0	c a f o
càu 1.0	c a f u
cày 1.0	c a f y
cá 1.0	c a s
các 1.0	c a s c
cách 1.0	c a s c h
cái 1.0	c a s i
cám 1.0	c a s m
cán 1.0	c a s n
cáng 1.0	c a s n g
cánh 1.0	c a s n h
cáo 1.0	c a s o
cáp 1.0	c a s p
cát 1.0	c a s t
cáu 1.0	c a s u
cáy 1.0	c a s y
câm 1.0	c a a m
cân 1.0	c a a n
câu 1.0	c a a u
cây 1.0	c a a y
cãi 1.0	c a x i
cò 1.0	c o f
còi 1.0	c o f i
còm 1.0	c o f m
còn 1.0	c o f n
còng 1.0	c o f n g
có 1.0	c o s
cóc 1.0	c o s c
cói 1.0	c o s i
cóng 1.0	c o s n g
cóp 1.0	c o s p
cót 1.0	c o s t
cô 1.0	c o o
côi 1.0	c o o i
côm 1.0	c o o m
côn 1.0	c o o n
công 1.0	c o o n g
cõi 1.0	c o x i
cõng 1.0	c o x n g
cù 1.0	c u f
cùi 1.0	c u f i
cùn 1.0	c u f n
cùng 1.0	c u f n g
cú 1.0	c u s
cúc 1.0	c u s c
cúi 1.0	c u s i
cúm 1.0	c u s m
cúng 1.0	c u s n g
cúp 1.0	c u s p
cút 1.0	c u s t
căm 1.0	c a w m
căn 1.0	c a w n
căng 1.0	c a w n g
cũ 1.0	c u x
cũi 1.0	c u x i
cũn 1.0	c u x n
cũng 1.0	c u x n g
cơ 1.0	c o w
cơi 1.0	c o w i
cơm 1.0	c o w m
cơn 1.0	c o w n
cư 1.0	c u w
cưa 1.0	c u w a
cưng 1.0	c u w n g
cưu 1.0	c u w u
cương 1.0	c u w o w n g
cước 1.0	c u w o w s c
cưới 1.0	c u w o w s i
cướp 1.0	c u w o w s p
cười 1.0	c u w o w f i
cườm 1.0	c u w o w f m
cường 1.0	c u w o w f n g
cưỡi 1.0	c u w o w x i
cưỡng 1.0	c u w o w x n g
cạc 1.0	c a j c
cạch 1.0	c a j c h
cạm 1.0	c a j m
cạn 1.0	c a j n
cạnh 1.0	c a j n h
cạo 1.0	c a j o
cạp 1.0	c a j p
cạu 1.0	c a j u
cạy 1.0	c a j y
cả 1.0	c a r
cải 1.0	c a r i
cảm 1.0	c a r m
cản 1.0	c a r n
cảng 1.0	c a r n g
cảnh 1.0	c a r n h
cảo 1.0	c a r o
cấm 1.0	c a a s m
cấp 1.0	c a a s p
cất 1.0	c a a s t
cấu 1.0	c a a s u
cấy 1.0	c a a s y
cầm 1.0	c a a f m
cần 1.0	c a a f n
cầu 1.0	c a a f u
cầy 1.0	c a a f y
cẩm 1.0	c a a r m
cẩn 1.0	c a a r n
cẩu 1.0	c a a r u
cẫng 1.0	c a a x n g
cận 1.0	c a a j n
cập 1.0	c a a j p
cật 1.0	c a a j t
cậu 1.0	c a a j u
cậy 1.0	c a a j y
cắc 1.0	c a w s c
cắm 1.0	c a w s m
cắn 1.0	c a w s n
cắp 1.0	c a w s p
cắt 1.0	c a w s t
cằm 1.0	c a w f m
cằn 1.0	c a w f n
cẳng 1.0	c a w r n g
cặm 1.0	c a w j m
cặn 1.0	c a w j n
cặp 1.0	c a w j p
cọ 1.0	c o j
cọc 1.0	c o j c
cọn 1.0	c o j n
cọng 1.0	c o j n g
cọp 1.0	c o j p
cọt 1.0	c o j t
cỏ 1.0	c o r
cỏi 1.0	c o r i
cỏm 1.0	c o r m
cố 1.0	c o o s
cốc 1.0	c o o s c
cối 1.0	c o o s i
cốm 1.0	c o o s m
cống 1.0	c o o s n g
cốt 1.0	c o o s t
cồ 1.0	c o o f
cồm 1.0	c o o f m
cồn 1.0	c o o f n
cồng 1.0	c o o f n g
cổ 1.0	c o o r
cổng 1.0	c o o r n g
cỗ 1.0	c o o x
cỗi 1.0	c o o x i
cộ 1.0	c o o j
cội 1.0	c o o j i
cộng 1.0	c o o j n g
cộp 1.0	c o o j p
cột 1.0	c o o j t
cớ 1.0	c o w s
cờ 1.0	c o w f
cời 1.0	c o w f i
cởi 1.0	c o w r i
cỡ 1.0	c o w x
cỡi 1.0	c o w x i
cỡn 1.0	c o w x n
cợt 1.0	c o w j t
cụ 1.0	c u j
cục 1.0	c u j c
cụi 1.0	c u j i
cụm 1.0	c u j m
cụp 1.0	c u j p
cụt 1.0	c u j t
củ 1.0	c u r
của 1.0	c u r a
củi 1.0	c u r i
củng 1.0	c u r n g
cứ 1.0	c u w s
cứa 1.0	c u w s a
cứng 1.0	c u w s n g
cứu 1.0	c u w s u
cừ 1.0	c u w f
cừu 1.0	c u w f u
cử 1.0	c u w r
cửa 1.0	c u w r a
cửi 1.0	c u w r i
cửu 1.0	c u w r u
cữ 1.0	c u w x
cự 1.0	c u w j
cựa 1.0	c u w j a
cực 1.0	c u w j c
cựu 1.0	c u w j u
d 1.0	d
da 1.0	d a
dai 1.0	d a i
dan 1.0	d a n
dang 1.0	d a n g
danh 1.0	d a n h
dao 1.0	d a o
di 1.0	d i
dim 1.0	d i m
dinh 1.0	d i n h
diêm 1.0	d i e e m
diên 1.0	d i e e n
diêu 1.0	d i e e u
diếc 1.0	d i e e s c
diết 1.0	d i e e s t
diếu 1.0	d i e e s u
diều 1.0	d i e e f u
diễm 1.0	d i e e x m
diễn 1.0	d i e e x n
diệc 1.0	d i e e j c
diệm 1.0	d i e e j m
diện 1.0	d i e e j n
diệp 1.0	d i e e j p
diệt 1.0	d i e e j t
diệu 1.0	d i e e j u
do 1.0	d o
doanh 1.0	d o a n h
doi 1.0	d o i
dong 1.0	d o n g
doãn 1.0	d o a x n
du 1.0	d u
dua 1.0	d u a
dung 1.0	d u n g
duy 1.0	d u y
duyên 1.0	d u y e e n
duyệt 1.0	d u y e e j t
duỗi 1.0	d u o o x i
dà 1.0	d a f
dài 1.0	d a f i
dàn 1.0	d a f n
dàng 1.0	d a f n g
dành 1.0	d a f n h
dào 1.0	d a f o
dày 1.0	d a f y
dác 1.0	d a s c
dám 1.0	d a s m
dán 1.0	d a s n
dáng 1.0	d a s n g
dáo 1.0	d a s o
dát 1.0	d a s t
dâm 1.0	d a a m
dân 1.0	d a a n
dâng 1.0	d a a n g
dâu 1.0	d a a u
dây 1.0	d a a y
dã 1.0	d a x
dãi 1.0	d a x i
dãng 1.0	d a x n g
dãy 1.0	d a x y
dè 1.0	d e f
dép 1.0	d e s p
dê 1.0	d e e
dì 1.0	d i f
dìu 1.0	d i f u
dí 1.0	d i s
dính 1.0	d i s n h
dò 1.0	d o f
dòi 1.0	d o f i
dòm 1.0	d o f m
dòng 1.0	d o f n g
dó 1.0	d o s
dóc 1.0	d o s c
dóm 1.0	d o s m
dôi 1.0	d o o i
dông 1.0	d o o n g
dõi 1.0	d o x i
dõng 1.0	d o x n g
dù 1.0	d u f
dùi 1.0	d u f i
dùng 1.0	d u f n g
dúi 1.0	d u s i
dúm 1.0	d u s m
dún 1.0	d u s n
dăm 1.0	d a w m
dăn 1.0	d a w n
dăng 1.0	d a w n g
dĩ 1.0	d i x
dĩa 1.0	d i x a
dũng 1.0	d u x n g
dơi 1.0	d o w i
dư 1.0	d u w
dưa 1.0	d u w a
dưng 1.0	d u w n g
dương 1.0	d u w o w n g
dưới 1.0	d u w o w s i
dường 1.0	d u w o w f n g
dưỡng 1.0	d u w o w x n g
dược 1.0	d u w o w j c
dượt 1.0	d u w o w j t
dạ 1.0	d a j
dạc 1.0	d a j c
dại 1.0	d a j i
dạm 1.0	d a j m
dạn 1.0	d a j n
dạng 1.0	d a j n g
dạo 1.0	d a j o
dạt 1.0	d a j t
dạy 1.0	d a j y
dả 1.0	d a r
dải 1.0	d a r i
dấm 1.0	d a a s m
dấn 1.0	d a a s n
dấp 1.0	d a a s p
dấu 1.0	d a a s u
dấy 1.0	d a a s y
dầm 1.0	d a a f m
dần 1.0	d a a f n
dầu 1.0	d a a f u
dẩn 1.0	d a a r n
dẫm 1.0	d a a x m
dẫn 1.0	d a a x n
dẫu 1.0	d a a x u
dẫy 1.0	d a a x y
dậm 1.0	d a a j m
dập 1.0	d a a j p
dậy 1.0	d a a j y
dắt 1.0	d a w s t
dằn 1.0	d a w f n
dằng 1.0	d a w f n g
dẳng 1.0	d a w r n g
dặc 1.0	d a w j c
dặm 1.0	d a w j m
dặn 1.0	d a w j n
dặt 1.0	d a w j t
dẹp 1.0	d e j p
dẹt 1.0	d e j t
dẻo 1.0	d e r o
dế 1.0	d e e s
dề 1.0	d e e f
dềnh 1.0	d e e f n h
dễ 1.0	d e e x
dệt 1.0	d e e j t
dị 1.0	d i j
dịch 1.0	d i j c h
dịp 1.0	d i j p
dịu 1.0	d i j u
dọa 1.0	d o j a
dọc 1.0	d o j c
dọn 1.0	d o j n
dỏng 1.0	d o r n g
dốc 1.0	d o o s c
dối 1.0	d o o s i
dốt 1.0	d o o s t
dồi 1.0	d o o f i
dồn 1.0	d o o f n
dỗ 1.0	d o o x
dỗi 1.0	d o o x i
dội 1.0	d o o j i
dột 1.0	d o o j t
dớ 1.0	d o w s
dời 1.0	d o w f i
dờn 1.0	d o w f n
dở 1.0	d o w r
dỡ 1.0	d o w x
dụ 1.0	d u j
dục 1.0	d u j c
dụng 1.0	d u j n g
dứa 1.0	d u w s a
dứt 1.0	d u w s t
dừa 1.0	d u w f a
dừng 1.0	d u w f n g
dử 1.0	d u w r
dửng 1.0	d u w r n g
dữ 1.0	d u w x
dự 1.0	d u w j
dựa 1.0	d u w j a
dực 1.0	d u w j c
dựng 1.0	d u w j n g
e 1.0	e
em 1.0	e m
eo 1.0	e o
ga 1.0	g a
gai 1.0	g a i
gam 1.0	g a m
gan 1.0	g a n
gang 1.0	g a n g
ganh 1.0	g a n h
gao 1.0	g a o
gay 1.0	g a y
gen 1.0	g e n
ghe 1.0	g h e
ghen 1.0	g h e n
ghi 1.0	g h i
ghim 1.0	g h i m
ghiền 1.0	g h i e e f n
ghè 1.0	g h e f
ghèn 1.0	g h e f n
ghé 1.0	g h e s
ghém 1.0	g h e s m
ghép 1.0	g h e s p
ghét 1.0	g h e s t
ghê 1.0	g h e e
ghì 1.0	g h i f
ghìm 1.0	g h i f m
ghẹ 1.0	g h e j
ghẹo 1.0	g h e j o
ghẻ 1.0	g h e r
ghẽ 1.0	g h e x
ghế 1.0	g h e e s
ghề 1.0	g h e e f
ghềnh 1.0	g h e e f n h
ghểnh 1.0	g h e e r n h
ghệt 1.0	g h e e j t
gia 1.0	g i a
giai 1.0	g i a i
giam 1.0	g i a m
gian 1.0	g i a n
giang 1.0	g i a n g
gianh 1.0	g i a n h
giao 1.0	g i a o
gieo 1.0	g i e o
gion 1.0	g i o n
giua 1.0	g i u a
giun 1.0	g i u n
già 1.0	g i a f
giàn 1.0	g i a f n
giành 1.0	g i a f n h
giàu 1.0	g i a f u
giày 1.0	g i a f y
giá 1.0	g i a s
giác 1.0	g i a s c
giám 1.0	g i a s m
gián 1.0	g i a s n
giáng 1.0	g i a s n g
giáo 1.0	g i a s o
giáp 1.0	g i a s p
giây 1.0	g i a a y
giã 1.0	g i a x
giãn 1.0	g i a x n
giãy 1.0	g i a x y
gièm 1.0	g i e f m
gié 1.0	g i e s
giêng 1.0	g i e e n g
giò 1.0	g i o f
giòn 1.0	g i o f n
gió 1.0	g i o s
gión 1.0	g i o s n
gióng 1.0	g i o s n g
giô 1.0	g i o o
giông 1.0	g i o o n g
giùm 1.0	g i u f m
giú 1.0	g i u s
giúp 1.0	g i u s p
giăm 1.0	g i a w m
giăng 1.0	g i a w n g
giũ 1.0	g i u x
giũa 1.0	g i u x a
giơ 1.0	g i o w
giương 1.0	g i u w o w n g
giướng 1.0	g i u w o w s n g
giường 1.0	g i u w o w f n g
giạt 1.0	g i a j t
giả 1.0	g i a r
giải 1.0	g i a r i
giảm 1.0	g i a r m
giản 1.0	g i a r n
giảng 1.0	g i a r n g
giảnh 1.0	g i a r n h
giảo 1.0	g i a r o
giấc 1.0	g i a a s c
giấm 1.0	g i a a s m
giấp 1.0	g i a a s p
giấu 1.0	g i a a s u
giấy 1.0	g i a a s y
giầm 1.0	g i a a f m
giần 1.0	g i a a f n
giầy 1.0	g i a a f y
giẫm 1.0	g i a a x m
giậm 1.0	g i a a j m
giận 1.0	g i a a j n
giập 1.0	g i a a j p
giật 1.0	g i a a j t
giắt 1.0	g i a w s t
giằm 1.0	g i a w f m
giằn 1.0	g i a w f n
giằng 1.0	g i a w f n g
giặc 1.0	g i a w j c
giặm 1.0	g i a w j m
giặn 1.0	g i a w j n
giặt 1.0	g i a w j t
giẹo 1.0	g i e j o
giếm 1.0	g i e e s m
giếng 1.0	g i e e s n g
giết 1.0	g i e e s t
giềng 1.0	g i e e f n g
giễu 1.0	g i e e x u
giọ 1.0	g i o j
giọng 1.0	g i o j n g
giọt 1.0	g i o j t
giỏ 1.0	g i o r
giỏi 1.0	g i o r i
giỏn 1.0	g i o r n
giống 1.0	g i o o s n g
giồng 1.0	g i o o f n g
giỗ 1.0	g i o o x
giới 1.0	g i o w s i
giờ 1.0	g i o w f
giời 1.0	g i o w f i
giở 1.0	g i o w r
giỡn 1.0	g i o w x n
giụa 1.0	g i u j a
giục 1.0	g i u j c
giủi 1.0	g i u r i
giữ 1.0	g i u w x
giữa 1.0	g i u w x a
giựt 1.0	g i u w j t
go 1.0	g o
gom 1.0	g o m
gu 1.0	g u
guốc 1.0	g u o o s c
guộc 1.0	g u o o j c
gà 1.0	g a f
gài 1.0	g a f i
gàn 1.0	g a f n
gàng 1.0	g a f n g
